,CoinGeckoID,week_m,week_sd,week_es,month_m,month_sd,month_es,season_m,season_sd,season_es,year_m,year_sd,year_es
63,parsiq,0.527564811,1.908878271,-0.459683919,1.868878026,4.76990445,-0.569858855,7.019667213,9.433756469,-0.459963757,0,0,0
64,pax-gold,0.001948702,0.025894246,-0.052543057,0.010720446,0.043686698,-0.064647878,0.047046295,0.068241142,-0.073064905,0.225914901,0.068009616,0.051344105
65,paxos-standard,8.47E-05,0.005145115,-0.012093168,0.000296096,0.005768741,-0.013054366,0.000289875,0.005366849,-0.011464074,0.00015619,0.005671453,-0.012096793
66,polymath-network,0.024288722,0.188617288,-0.295087801,0.117944227,0.546560092,-0.426218664,0.268282846,1.009424377,-0.674086789,1.104709026,3.10647284,-0.865552777
67,power-ledger,0.022983567,0.151775102,-0.266572411,0.088915761,0.367626253,-0.407743853,0.163756116,0.536252875,-0.569301599,0.485898349,0.853795459,-0.579651603
68,pundi-x,0.032954836,0.238988581,-0.255173796,0.168227128,0.755551666,-0.456689908,0.380717503,1.870861751,-0.710601748,0.293765257,2.542086961,-0.850805307
69,quant-network,0.045490054,0.217786077,-0.270226324,0.240361347,0.62530341,-0.440123671,0.536691884,0.902183663,-0.533081222,1.670706322,2.547042934,-0.377616527
70,rocket-pool,0.089560833,0.310419766,-0.385236731,0.426569297,0.866507517,-0.494282084,1.038206165,1.318621963,-0.293292163,8.673991195,4.264676749,2.964468164
71,serum,0.066317997,0.252521648,-0.290447041,0.305132678,0.698878933,-0.481766988,0.878124739,1.646600902,-0.633955383,0,0,0
72,singularitynet,0.028025019,0.19381687,-0.30685275,0.137349567,0.50689679,-0.492384541,0.311508657,0.943520299,-0.468957656,0.896907272,2.107510141,-0.77300723
73,status,0.028252431,0.182827894,-0.261970808,0.110001788,0.346350457,-0.37957808,0.267989453,0.635631383,-0.518188664,1.031406233,1.627536405,-0.55498861
74,storj,0.029006498,0.186892835,-0.303946456,0.128162771,0.416247396,-0.450028902,0.301281092,0.776241717,-0.506287459,0.935505746,1.439471474,-0.712770086
75,sushi,0.111064178,0.357839998,-0.529813992,0.869817613,1.114262927,-0.79561854,7.60910551,7.436315155,-0.662572109,0,0,0
76,swipe,0.082805629,0.367411052,-0.467160285,0.434648665,1.225036553,-0.656709099,0.643302058,1.637355751,-0.740774947,0.900005778,2.737617821,-0.477943558
77,swissborg,0.070453465,0.242024167,-0.267870919,0.366426616,0.76172023,-0.388729089,1.433043737,2.349833765,-0.455474595,11.03770238,10.92940205,0.72782042
78,tbtc,0.083257137,0.115897838,-0.154827683,0.429106592,0.245898796,0.032055277,1.88325505,0.319570677,1.411742242,0,0,0
79,tellor,0.141122164,0.791569705,-0.498310115,0.748702009,3.473727375,-0.572576767,1.604800123,3.926438208,-0.485678817,15.53939328,38.74442688,2.968571298
80,terrausd,0.000265851,0.013544936,-0.029496742,0.001039007,0.015509068,-0.034215581,0.006553391,0.012646246,-0.0186914,0,0,0
81,tether,-4.03E-05,0.003301297,-0.00818353,-8.55E-05,0.003664501,-0.008596342,-2.58E-05,0.003395358,-0.007417849,-0.000272011,0.003859191,-0.008930102
82,the-graph,0.229513422,0.494870358,-0.339950889,1.903517212,1.561409227,-0.147798006,0,0,0,0,0,0
83,the-sandbox,0.112332463,0.335871038,-0.351478062,0.58697753,1.153891006,-0.358567655,1.660724081,2.614752765,-0.382125258,0,0,0
84,theta-token,0.056429515,0.179107364,-0.268239008,0.280498455,0.534613937,-0.433395891,0.907212929,1.336658264,-0.342978922,8.48672996,15.71150271,-0.453997017
85,tokenlon,0.200385546,0.518709404,-0.287222013,1.631423174,1.3729102,-0.278595162,0,0,0,0,0,0
86,true-usd,6.29E-05,0.005045185,-0.011481784,0.00016018,0.005910093,-0.013114306,-0.000311974,0.005494491,-0.013900515,-0.001134257,0.005738077,-0.016701975
87,uma,0.11976525,0.424322658,-0.312562815,0.577338609,0.922569338,-0.553413435,2.490812265,3.240675557,-0.591888135,0,0,0
88,unibright,0.075585512,0.337902486,-0.343747919,0.422410503,1.288251762,-0.498454348,1.624319759,3.819726496,-0.494817096,18.21693209,11.82994301,0.234913804
89,uniswap,0.102308619,0.251271109,-0.276486981,0.684725781,0.929700539,-0.453595091,4.355780967,3.251909106,-0.340266104,0,0,0
90,uquid-coin,0.089859741,0.385773763,-0.404914762,0.357212919,0.712731147,-0.562955655,1.232804081,1.481628107,-0.552120466,31.30417833,33.33602173,0.695188034
91,usd-coin,5.63E-05,0.004366297,-0.009685654,0.000161498,0.005259718,-0.010717341,-0.000364108,0.004762429,-0.012353397,-0.001347363,0.005182125,-0.015154903
92,vechain,0.038633548,0.17795282,-0.285720762,0.173318722,0.40393975,-0.489167796,0.648554031,1.189081749,-0.53922618,2.374094387,4.224541264,-0.517438035
93,wax,0.027133562,0.197048512,-0.301756139,0.101634313,0.448768666,-0.431256096,0.190048624,0.637047175,-0.645702729,0.138127364,0.62044702,-0.647583215
94,wrapped-bitcoin,0.035641685,0.366946273,-0.209902577,0.145439965,0.502164443,-0.314293582,0.508199293,1.157678653,-0.308578238,1.40411559,2.026208796,-0.207801992
95,wrapped-nxm,0.091422961,0.330300471,-0.379940862,0.39078966,1.054006773,-0.439712126,0.332683777,0.815199351,-0.686314773,0,0,0
96,xdai-stake,0.184257463,0.661013603,-0.405517705,0.767879827,1.710974577,-0.530778753,3.591177404,5.57838843,-0.659178738,0,0,0
97,xdce-crowd-sale,0.067548707,0.326011558,-0.274299405,0.347175731,0.978315715,-0.46249861,0.851626317,1.630625816,-0.368983364,5.650260717,5.806750902,0.115363311
98,yearn-finance,0.229994002,1.748605478,-0.356555518,1.206386624,4.665735859,-0.581341336,1.738181901,10.05103945,-0.304957669,0,0,0
99,zilliqa,0.030939987,0.180424876,-0.298448923,0.166711342,0.53225309,-0.487167534,0.67526826,1.520108326,-0.698217819,3.27642581,5.627231002,-0.813928387
